status,timestamp,user_id
200,2023-01-01T00:00:00,1
200,2023-01-01T03:00:00,4
200,2023-01-01T06:00:00,7
200,2023-01-01T09:00:00,10
200,2023-01-01T12:00:00,3
200,2023-01-01T15:00:00,6
200,2023-01-01T18:00:00,9
200,2023-01-01T21:00:00,2
200,2023-01-02T00:00:00,5
200,2023-01-02T03:00:00,8
200,2023-01-02T06:00:00,1
200,2023-01-02T09:00:00,4
200,2023-01-02T12:00:00,7
200,2023-01-02T15:00:00,10
200,2023-01-02T18:00:00,3
200,2023-01-02T21:00:00,6
200,2023-01-03T00:00:00,9
200,2023-01-03T03:00:00,2
200,2023-01-03T06:00:00,5
200,2023-01-03T09:00:00,8
200,2023-01-03T12:00:00,1
200,2023-01-03T15:00:00,4
200,2023-01-03T18:00:00,7
200,2023-01-03T21:00:00,10
200,2023-01-04T00:00:00,3
200,2023-01-04T03:00:00,6
200,2023-01-04T06:00:00,9
200,2023-01-04T09:00:00,2
200,2023-01-04T12:00:00,5
200,2023-01-04T15:00:00,8
200,2023-01-04T18:00:00,1
200,2023-01-04T21:00:00,4
200,2023-01-05T00:00:00,7
200,2023-01-05T03:00:00,10
